index,Function ID,Critical Work Function,Key Tasks
6370,6370,represent industry needs and interests,"['conduct research on the industry landscape to identify emerging trends and developments', 'support in the organisation of dialogues and meetings with relevant ministries, government agencies and stakeholders to represent the industry needs and interests', 'assist in the development of advocacy and representation messages for the government, industry and business community', 'establish rapport with ministries, government agencies and stakeholders to understand desired outcomes and drive industry development', 'support engagement with stakeholders to identify their business needs and gather feedback on industry views and concerns']"
6371,6371,research and pro-active monitoring of threats and attacks,"['recommend and develop approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists', 'monitor and report changes in threat dispositions, activities, tactics, capabilities, objectives related to designated cyber operations warning problem sets', 'run continuous scans and monitor threats that may exist in the dark web and external web-based applications', 'identify potential attacker groups or individuals and take preventive measures', 'conduct research on new and existing threats that may impact existing it systems']"
6372,6372,research customer trends and content ideas,"['conduct quantitative and qualitative research to validate the appeal of different concepts and genres across various target audience demographics', 'identify trends and patterns from audience content consumption data for the genre and/or customer segments', 'report research results and audience trends', 'infer popular content concepts from other genres to gauge their applicability to own genre']"
6373,6373,research customer trends and content ideas,"['analyse content consumption patterns to identify key trends across genres and/or customer segments', 'identify content commissioning opportunities', 'build an understanding of audience needs and expectations', 'manage research projects to identify new content ideas and concepts for the genres and/or customer segments']"
6374,6374,research customer trends and content ideas,"['analyse content consumption patterns to identify key trends across genres and/or customer segments', 'build an understanding of audience needs and expectations', 'manage research projects to identify potential content concepts and types', 'identify content acquisition opportunities']"
6375,6375,research customer trends and content ideas,"['conduct quantitative and qualitative research to validate the appeal of different concepts and genres and/or segments across various target audience demographics', 'reference popular content concepts from other genres to gauge their applicability to own genre', 'identify trends and patterns from audience content consumption data for the genres and/or segments', 'report research results and audience trends']"
6376,6376,research emerging technologies,"['review and approve organisational requirements for resources and structures necessary to support initiatives', 'advise on options, risks, costs versus benefits, system impact and technology priorities', 'ensure projects are aligned with enterprise architecture', 'establish a technology research strategy and roadmap', 'determine business requirements and the impact of technology trade-offs on strategy', 'oversee the research and evaluation of emerging technology, industry and emerging trends', 'develop communication plans for enterprise architecture']"
6377,6377,research emerging technologies,"['develop a communication plan for security architecture', 'lead the research and evaluation of emerging technology, industry and market trends to assist in project development', 'identify organisational requirements for resources', 'provide recommendations on emerging technology to senior management', 'consult with clients and it teams on security architecture solutions', 'analyse cost versus benefits, risks, impact and technology priorities']"
6378,6378,research emerging technologies,"['lead the research and evaluation of emerging technology, industry and market trends to assist in project development', 'identify organisational requirements for resources', 'consult with clients and it teams on business architecture solutions', 'provide recommendations on emerging technology to senior management', 'develop communication plans for business architecture', 'analyse cost versus benefits, risks, impact and technology priorities']"
6379,6379,research emerging technologies,"['develop communication plans for solutions architecture', 'lead the research and evaluation of emerging technology, industry and market trends to assist in project development', 'identify organisational requirements for resources', 'provide recommendations on emerging technology to senior management', 'analyses cost versus benefits, risks, impact and technology priorities', 'consults with clients and it teams on solutions architecture']"
6380,6380,research emerging technologies,"['develop a communication plan for infrastructure architecture', 'consults with clients and it teams on infrastructure architecture solutions', 'lead the research and evaluation of emerging technology, industry and market trends to assist in project development', 'identify organisational requirements for resources', 'provide recommendations on emerging technology to senior management', 'analyses cost versus benefits, risks, impact and technology priorities']"
6381,6381,research emerging technologies,"['identify organisational requirements for resources', 'consults with clients and it teams on software architecture solutions', 'analyses cost versus benefits, risks, impact and technology priorities', 'provide recommendations on emerging technology to senior management', 'develop a communication plan for software architecture', 'lead the research and evaluation of emerging technology, industry and market trends to assist in project development']"
6382,6382,research industry trends,"['provide inputs on sales incentive structure and key performance indicators to help monitor the execution of these targets', 'leverage on innovations within media to maximise the monetisation of traditional and digital assets and products', 'provide inputs to the content development teams based on customer and industry feedback', 'participate in forums and discussions to keep abreast of new changes in the industry and practices', 'monitor changes in the industry and determine how they can be converted into useful opportunities', 'develop a comprehensive organisational sales and distribution strategy that maximises sales opportunities', ""develop sales and distribution policies and programs that reflect the organisation's goals and objectives"", 'outline objectives in key target areas such as sales volume, market share, segments, distribution channels and profit margins to guide the development of advertising sales, promotions, campaigns, sponsorships and other offerings based on the customer insights']"
6383,6383,research industry trends,"['conduct research on changes in the industry and adjacent sectors', ""research the industry ecosystem, competitive landscape and the organisation's positioning"", 'keep up-to-date on consumption developments and trends in the marketplace']"
6384,6384,research industry trends,"['develop sales targets for each industry segment that are in alignment with overall sales volumes and product and/or service offerings leveraging customer insights', 'align the key areas of focus and segments for the organisation based on the sales and distribution strategy', 'determine if current customer acquisition channels are aligned to the sales objectives', 'analyse the market and forecast key trends that may impact the organisation', 'translate the key metrics to each team to monitor performance against plans and achievement of sales objectives', 'keep track of policy changes that may affect the customer’s business', 'familiarise and be up-to-date with relevant laws and any other regulations that can apply to the organisation', 'analyse opportunities that can be leveraged to benefit the organisation']"
6385,6385,"research, analyse and advise on legal matters","['provide training on legal-related matters for non-legal professionals in the organisation', 'form legal opinions and case arguments based on research data', 'provide legal briefs and legal advice to organisational stakeholders', 'review documented evidence, legal information and arguments prepared for litigation cases, business agreements and legal transactions', 'interpret new laws, rulings and regulations to assess the impact on individuals and businesses', 'develop approaches to handle legal scenarios and escalate to appropriate stakeholders']"
6386,6386,"research, analyse and advise on legal matters","['provide legal advice and updates on current legal positions, and communicate legal briefs to senior management', 'implement and encourage adoption of group policies governing corporate and legal ethics', 'determine the strategies for internal and external legal advisory approaches and the scope of legal advice offered to stakeholders', 'advise on and drive the implementation of regulatory requirements within the organisation', 'guide the legal department in conflict management approaches']"
6387,6387,"research, analyse and advise on legal matters","['maintain legal databases and legal document templates for ease of reference', 'direct stakeholders to legal resources and references', 'keep abreast of current and changing laws', 'perform legal, business and investigative research to aid decision making and preparation of legal materials', 'collate legal research for internal and/or external counsels']"
6388,6388,resolve database incidents,"['investigate escalated of database issues to determine potential solutions', 'ensure 24 x 7 production support and/or database access', 'oversee adherence to organisational database procedures, policies and protocols']"
6389,6389,resolve database incidents,"['identify and resolve database issues', 'ensure adherence to organisational database procedures, policies and protocols', 'determines appropriate course of action for resolving database issues, identify and mitigate risks', 'escalate unresolved database issues']"
6390,6390,resolve incidents,"['recommend solutions to resolve system issues and prevent future incidents', 'advise senior management on system issues and operations', 'diagnose system health and propose changes and/or enhancements to system', 'design and implement disaster recovery plans', 'engage stakeholders in driving improvements on system performance and reliability', 'monitor system performance and availability to ensure compliance with service level agreements (slas)', 'simulate user problems on end-to-end diagnosis for infrastructure incidents']"
6391,6391,resolve incidents,"['utilise monitoring systems and diagnose the root cause of incidents', 'document system outages to provide critical insights on system health', 'manage incident response process and system recovery', 'provide regular feedback to product development team to improve system performance and reliability', 'address gaps in performance or availability based on identified metrics', 'resolve escalations or issues relating to system operations', 'simulate user problems in performing end-to-end diagnosis for infrastructure incidents']"
6392,6392,resolve infrastructure-related incidents,"['analyse audit trails to detect systematic security violations related to infrastructure', 'maintain controls and documentation to ensure compliance with audit requirements', 'simulate user problems to perform end-to-end diagnosis for infrastructure incidents', 'assist senior management in disaster recovery planning and testing', 'oversee compliance to procedures and policies for infrastructure-related incidents', 'resolve escalated or major issues relating to infrastructure operations', 'implement improvements to infrastructure resolution methods and techniques', 'guide and/or train teams to resolve infrastructure-related incidents']"
6393,6393,resolve infrastructure-related incidents,"['troubleshoot escalated server, storage and maintenance issues', 'monitor compliance to procedures and policies for infrastructure-related incidents', 'suggest improvements to infrastructure resolution methods and techniques', 'simulate user problems to resolve operating difficulties']"
6394,6394,resolve infrastructure-related problems and issues,"['document solutions to common infrastructure-related incidents', 'act as the first point of contact for infrastructure-related incidents', 'assist with problem identification and resolution', 'escalate unresolved infrastructure-related incidents for resolution', 'documents incidents and track resolution in management systems']"
6395,6395,resolve infrastructure-related problems and issues,"['simulate user problems to explore solutions to resolve problems', 'conduct root cause analysis to explore possible solutions', 'create temporary solutions until permanent solutions can be developed to resolve infrastructure-related incidents', 'recommend system modifications to address issues', 'oversee updates on issues to ensure resolution', 'guide and/or train teams to resolve infrastructure-related incidents']"
6396,6396,resolve network incidents,"['document network incidents and resolution methods', 'troubleshoot, diagnose and resolve network issues', 'classify and prioritise network incidents for troubleshooting']"
6397,6397,resolve network-related incidents,"['administer service requests', 'escalate unresolved network-related incidents', 'adhere to organisational policies, procedures and protocols when resolving network-related incidents', 'identify and respond to network-related incidents']"
6398,6398,resolve network-related incidents,"['evaluate past incidents and prepare reports and documentation for senior stakeholders', 'classify and categorise incidents for escalation', 'provide support and recommendations to the affected teams post-incident', 'analyse and provide technical back-up and third line support when technical incidents arise']"
6399,6399,resolve system-related incidents,"['identify and resolve system-related issues', 'escalated unresolved system-related issues']"
6400,6400,resolve system-related incidents,"['investigate cause of systems issues and resolve issues to ensure uninterrupted operations', 'resolve escalated system-related issues to identify root cause and potential solutions', 'conduct risk assessments of systems']"
6401,6401,respond to cyber security queries,"['assist with resolution of security-related issues', 'maintain logs of cyber security incidents', 'recommend modifications to cyber security systems to address issues', 'assist in responding to cyber security issues', 'assist in forensic threat investigations', 'assist with simulation of user problems to identify drawbacks of cyber security systems']"
6402,6402,respond to emergencies on board ships,"['apply basic survival skills in the event of ship abandonment', 'follow procedures to minimise and fight fires on board ships', 'apply basic survival skills in the event of ship abandonment', 'follow procedures to minimise and fight fires on board ships']"
6403,6403,respond to ot cyber incidents,"['facilitate incident response activities according to incident response protocols and plans', 'provide information to support triaging, analysis and eradication of cybersecurity incidents', 'assist incident response personnel in containment and mitigation of incidents to recover compromised systems to acceptable levels of confidentiality, integrity, and availability', ""follow the crisis management plan according to organisation's guidelines"", 'support ot cybersecurity investigation activities through collection of relevant data during cyber incidents']"
6404,6404,respond to ot cybersecurity incidents,"['work with relevant cybersecurity or operations personnel to understand threat scenario and security issues', 'coordinate with relevant personnel such as operations team to implement procedures for the containment of cybersecurity incidents, activation of recovery processes, and investigation processes', 'advise senior leadership with information to facilitate critical decision-making and alignment in incident response and handling approach', 'prepare accurate and detailed cyber incident reports in the ot environment to facilitate after-action review processes', 'receive incident escalations and activate incident response procedures as per established incident response plan and protocols', 'analyse security issues and perform triaging of ot cybersecurity incidents to enact relevant identification, containment, and eradication measures while supporting recovery efforts of ot systems', 'implement procedures for the preservation of evidence or artefacts prior to the initiation of recovery process to support investigation activities', 'engage and liaise with external parties such as vendors for forensic/recovery activities or law enforcement personnel to carry out required incident response protocols']"
6405,6405,respond to ot cybersecurity incidents,"['develop incident response framework, threshold and plans for ot cybersecurity incidents', 'establish structure, roles and responsibilities for ot cybersecurity incidents response activities', 'establish the chain of events  and processes to be followed for ot cybersecurity incidents', 'correlate ot cyber incidents to network and system activities', 'collaborate with legal department and  authorities for prosecution and investigation processes where necessary']"
6406,6406,respond to ot cybersecurity incidents,"['provide inputs to support the fulfilment of incident response processes', 'partner with other stakeholders to shape mitigation strategies for cybersecurity threats']"
6407,6407,respond to search and rescue operations,"['respond to a distress signal at sea', 'respond to emergencies']"
6408,6408,respond to search and rescue operations,"['respond to emergencies', 'respond to distress signals at sea']"
6409,6409,"retirement, cp","['implement strategies to support re-employment of employees beyond their retirement age based on the organisation’s re-employment policies.', 'manage the administration of data that underpins the retirement process to ensure retiring employees are treated in a professional manner and in accordance to the relevant legislation.', 'support retiring employee by the provision of meaningful and constructive information about the retirement process, their rights and obligations, and advise on post-retirement matters.']"
6410,6410,"retirement, sp","['evaluate the business impact of retirement on the organisation to ensure enterprise-related enterprise risks are considered and addressed.', 'translate retirement policy into operational framework and processes, keeping in view legal requirements, organisational needs and the well-being of retiring employees to instil a positive association with the organisation upon retirement.', 'develop and drive re-employment strategies and policies to enable re-employment of employees beyond their retirement age.']"
6411,6411,review and rate counterparty risk applications,"['develop policies for counterparty risk assessment and decision-making guidelines', 'set and enforce guidelines for the verification of financial and credit transactions', 'evaluate and decide on collection, termination and/or other outcomes for accounts reviewed', 'identify and enforce credit rating triggers and break clauses in counterparty risk rating processes', 'guide staff on counterparty risk assessment policies and procedures', 'define approval limits and revise letters of credit', 'conduct periodic quality reviews on counterparty risk assessments']"
6412,6412,review and rate counterparty risk applications,"['review and identify individual or commercial accounts for collection and/or potential termination', 'identify decision-making guidelines for the conduct of counterparty risk assessments in accordance with policies', 'review verifications of financial and credit transactions for accuracy', 'review preliminary counterparty risk assessment findings and make decisions based on pre-defined policies and guidelines', 'review credit rating triggers and break clauses for applications in accordance with credit risk policies', 'approve letters of credit for loan transaction processing', 'review reports and information from credit associations and other business representatives']"
6413,6413,review and rate counterparty risk applications,"['confer with credit associations and other business representatives to exchange credit information', 'execute counterparty risk assessment steps and due diligence checks in accordance with guidelines', 'conduct preliminary reviews on financial and credit transactions', 'create letters of credit for loan transactions', 'gather information and data to review credit rating triggers and break clauses for applications', 'collect counterparty risk information and conduct preliminary risk assessments', 'identify individual and/or commercial client accounts for review of status']"
6414,6414,review client portfolio performance,"[""review clients' portfolios with client-facing teams to develop appropriate investment strategies"", 'update data in portfolio review templates', 'gather and consolidate research on market, economic and product trends']"
6415,6415,review client portfolio performance,"['oversee accuracy and efficiency of portfolio review process, and implement process improvements where identified', 'keep abreast of latest market and economic trends and ensure validity of evaluation provided to clients', 'ensure investment strategies are aligned to organisational policies and compliant with regulations']"
6416,6416,review client portfolio performance,"['help clients evaluate portfolio performance in context with current market trends and conditions', 'prepare timely and accurate portfolio reviews', 'review client portfolios with client-facing teams to develop appropriate investment strategies']"
6417,6417,review compliance to trade controls,"['escalate high-risk positions observed in commodities’ profit and loss report to internal stakeholders for further actions', 'collaborate with internal stakeholders to ensure there is no breach against the approved threshold', 'recommend mitigating strategies and implement structures and processes to control risks']"
6418,6418,review compliance to trade controls,"['lead collaboration with internal stakeholders to address gaps in threshold variances', 'drive enforcement of trade controls with internal stakeholders', 'establish trade controls that are adequate and effective']"
6419,6419,review compliance to trade controls,"['analyse risks and uncertainties contributing to trade controls', 'analyse periodic profit and loss reports to determine drivers of movements and threshold variances if any', 'monitor positions and associated risks to ensure that they are reflected prudently in commodities’ profit and loss reports']"
6420,6420,review continuing professional development programmes,"['adhere to educational standards as stipulated by singapore nursing board', 'accredit continuing professional development programmes with recognised accreditation body, where required', 'synthesise findings from education audit to align continuing professional development programmes to be aligned with national directives and priorities']"
6421,6421,review continuing professional development programmes to be aligned with national directives and priorities,"['review nursing education and practice policies and procedures to realign its mission with organisational and national priorities, including care transformation', 'accredit continuing professional development programmes with recognised accreditation bodies, where required', 'review recommendations from findings synthesised from educational audits']"
6422,6422,review continuous improvement activities,"['review proposed initiatives for continuous improvement', 'review the new beverage recipes for inclusion in new menu', 'review continuous improvement activities to assess effectiveness', 'evaluate emerging technology trends that can be leveraged to improve productivity and innovation', 'modify existing work processes and procedures in accordance with process improvement reviews']"
6423,6423,review continuous improvement activities,"['review proposed initiatives for continuous improvement across outlets', ""review multi-outlets' continuous improvement activities to assess effectiveness"", 'evaluate emerging technology trends that can be leveraged to improve productivity and innovation', 'modify existing work processes and procedures in accordance with process improvement reviews']"
6424,6424,review continuous improvement activities,"['review proposed initiatives for continuous improvement', 'review continuous improvement activities to assess effectiveness', 'evaluate emerging technology trends that can be leveraged to improve productivity and innovation', 'modify existing work processes and procedures in accordance with process improvement reviews', 'review new recipes for inclusion in new menus']"
6425,6425,review continuous improvement activities,"['review proposed initiatives for continuous improvement', 'evaluate emerging technology trends that can be leveraged to improve productivity and innovation', 'modify existing work processes and procedures in accordance with process improvement reviews', 'review new recipes for inclusion in new menus']"
6426,6426,review trade transactions for financial and compliance reporting,"['review trade entries and profit and loss reporting', 'provide guidance on the reconciliation of trade entries and profit and loss reporting', 'drive compliance efforts to ensure consistency with risk management guidelines', 'review investigation outcomes on breaches in electricity, derivative and gas market operations, and recommend follow-up actions']"
6427,6427,review trade transactions for financial and compliance reporting,"['conduct investigations on any potential breaches in electricity, derivative. and gas market operations', 'update trading information databases and relevant spreadsheets', 'perform trade entries and profit and loss reporting', 'check that energy transactions are favourable and consistent with risk management guidelines']"
6428,6428,review trade transactions for financial and compliance reporting,"['drive the implementation of follow-up actions to mitigate breaches in electricity, derivative and gas market operations', 'evaluate trade entries and profit and loss reports to assess business and financial impact', ""lead audits to ensure teams' compliance with corporate and regulatory requirements""]"
6429,6429,review vessel design documentation,"['review all vessel engineering designs to ascertain performance standards and stability in accordance to statutory regulations and class requirements', 'approve technical drawings, documentation and other essentials plans, and provide advice on design processes']"
6430,6430,review vessel design documentation,"['analyse structure, stability, tonnage load verification and other key aspects of vessel design and construction through the use of software', 'appraise the certifications of materials and equipment used', ""analyse technical drawings, documentation and other essential plans sent for approval to ensure ship owners' requirements are met""]"
6431,6431,review vessel design documentation,"['review software analyses of structure, stability, tonnage, load verification and other key aspects of vessel design and construction', 'review technical drawings, documentation and other essential plans to ensure all requirements are met', 'manage materials and equipment certification review processes']"
6432,6432,review water quality control laboratory policies and processes,"['contribute to technical reviews of test equipment and standards, and assess effectiveness for operational requirements', 'implement policies and procedures to address water quality control issues', 'improve sops and test standards for the laboratory to enhance boiler and feed water quality']"
6433,6433,review water quality control laboratory policies and processes,"['monitor implementation of policies and procedures to address water quality control issues', 'implement improved sops and test standards for the laboratory to enhance boiler and feed water quality']"
6434,6434,review water quality control laboratory policies and processes,"['establish standard operating procedures (sops) and test standards for the laboratory to enhance boiler and feed water quality', 'recommend policies and procedures to address water quality control issues', 'conduct technical reviews of test equipment and standards, and assess effectiveness for operational requirements']"
6435,6435,run hr analytics,"['set objectives for data analysis', 'fine-tune the analytics models', 'liaise with various departments to understand their data reporting and analysis requirements', 'perform analytics on hr data to identify future risks and opportunities', 'prepare action plan to implement decisions for enhancing business and hr performance', 'develop recommendations using visualisation tools to guide business and hr decisions and solutions']"
6436,6436,run hr analytics,"['lead decision-making with relevant stakeholders to improve and enhance business and hr performance', 'review data-based recommendations to select optimal solutions', 'define the business issue requiring hr data analysis', 'derive business insights from hr data analytics', 'conceptualise new data models that address business needs']"
6437,6437,secure funding and sponsorships,"['support in the negotiations with the financiers and provide options for on-screen branding and/or profit sharing models', 'contribute inputs to source funds for approved production projects', 'develop the overall budget estimates for suitable ideas or proposals']"
6438,6438,secure funding and sponsorships,"['approve funding for suitable projects with desirable monetisation potential', 'identify financiers, banks and other external sources to seek financial backing and sponsorship for the production project', 'lead the preparation and presentation of pitches to prospective financial and sponsorship partners', 'lead negotiations on terms for financial backing, sponsorships and so forth, and strike deals for supporting the production project', 'drive corporate deals for branding and merchandising by collaborating with sales and marketing teams']"
6439,6439,secure funding and sponsorships,"['approve funding for suitable projects with desirable monetisation potential', 'identify financiers, banks and other external sources to seek financial backing and sponsorship for the production project', 'lead the preparation and presentation of pitches to prospective financial and sponsorship partners', 'lead negotiations on terms for financial backing, sponsorships etc. and strike deals for supporting the production project', 'drive corporate deals for branding and merchandising by collaborating with sales and marketing teams']"
6440,6440,secure funding and sponsorships,"['support the production teams in securing additional funding for the project when required', 'research and provide options to the production teams on the financing and sponsorship options', 'support the development of budgets by providing the breakdown of the costs for aggregate budgets and proposals']"
6441,6441,secure individual leisure sales,"['supervise prospective customer engagements at travel tradeshows and exhibitions', 'manage point of sale (pos) account consolidation', 'communicate pricing guidelines for leisure travel sales']"
6442,6442,secure individual leisure sales,"['collaborate with product and experience development department to develop pricing guidelines for leisure travel sales', 'manage sales teams at travel tradeshows and exhibitions']"
6443,6443,secure individual leisure sales,"['apply upselling techniques when developing itineraries with customers', 'engage prospective clients at travel tradeshows and exhibitions', 'engage clients to identify travel needs', 'perform point of sale (pos) account consolidation', 'adhere to pricing guidelines for leisure travel sales']"
6444,6444,"securing, cp","['articulate an employee value proposition that is simple to understand, differentiated from competition, and have a strong rational and emotive appeal to choice candidates.', 'put together offers of employment that takes into account internal and external compensation equity, and communicate offers of employment in a persuasive and professional manner to secure acceptance of employment offers.', 'communicate the employee value proposition to choice of candidates through letters of employment, verbal communication and persuasion, as well as leveraging on advocates from the business to reaffirm the employee value proposition.', 'design a unique and compelling employer brand and employee value proposition to establish a differentiated and distinctive organisational brand in the market.']"
6445,6445,"securing, sp","['approach senior candidates targeted for offers of employment with skill by creating persuasive and compelling offers to secure acceptance of employment offers.', 'advise hiring recommendations of senior candidates in consultation with business leaders, taking into account existing business considerations and future business needs.', 'advocate and influence others to be advocates of the employee value proposition to strengthen the employer brand in the market.']"
6446,6446,"selecting, cp","['advise hiring managers on the principles of fair and unbiased employment selection practices.', 'analyse all information gathered from the screening and assessment process to support hiring managers in making decisions on offers of employment.', 'recommend and deploy a range assessment tools, techniques and technology solutions for hiring managers to evaluate the job-fit of candidates in order to reduce time taken to hire and manage hiring costs within the approved budget.']"
6447,6447,"selecting, sp","['monitor and evaluate the effectiveness of the assessment process and recommend continuous improvement actions.', 'advise business leaders on the principles of fair and unbiased employment selection practices as well as how they should be aligned to current and future business needs.', 'design a screening and assessment approach using a combination of screening criteria, assessment tools, techniques and technology solutions to assess candidates in a cost efficient and effective manner.', 'interview senior candidates and recommend suitably qualified candidates to business leaders for offers of employment.', 'prioritise hiring spending to invest for future-ready skillsets that the organisation needs.']"
6448,6448,separate talent,"['guide business leaders in communicating involuntary exit decisions and options to affected employees', 'recommend alternate hr policies to business leaders to minimise the impact of redundancies', 'guide business leaders to comply with legal obligations when dealing with voluntary exits', 'promote re-employment of employees beyond their retirement age with business leaders']"
6449,6449,separate talent,"[""facilitate reemployment of employees beyond retirement age in alignment with organisation's retirement policies"", 'advise line managers in retirement processes to ensure employee leaves with a positive association with the organisation', 'recommend alternate strategies to prevent redundancies in the organisation', 'provide advice to line managers on managing voluntary employee exits to ensure employee leaves with a positive association with the organisation', 'coach line managers to manage involuntary exits due to redundancy or other reasons', 'guide employees on outplacement support provided by the organisation', 'conduct exit interviews to gather feedback for better employee retention', 'assist retiring employees on retirement process, obligations and post-retirement support available']"
6450,6450,service client accounts,"['foster and deepen relationships with clients', 'manage contracts with ship owners, cargo owners and (other) brokers', 'manage and resolve disputes (e.g. laytime calculations, settlement of demurrage payments)', 'update clients with latest updates on market outlook (e.g. chartering activities, refinery runs, and fleet deployment)']"
6451,6451,service client accounts,"['manage contracts with ship owners, cargo owners and brokers', 'maintain relationships with cargo owners', 'manage and archive information exchange between clients and business', 'manage issues arising from servicing client accounts']"
6452,6452,service client accounts,"['update clients on ship status, using available information platforms', 'analyse market data to identify business opportunities', 'maintain relationships with ship owners', 'update clients on ship status, using available information platforms', 'analyse market data to identify business opportunities', 'maintain relationships with ship owners']"
6453,6453,service client accounts,"['update and/or report to shipowners and operators on ship activities, cargo operations and status of port clearance', 'liaise with clients on status of cargo clearance']"
6454,6454,service client accounts,"['maintain relationships with charterers, shipowners and other clients', 'manage contracts with ship owners, cargo owners and brokers', 'maintain and update fleet operational record systems and customer databases', 'resolve claims and payment disputes arising from voyage operations with cargo owners, brokers and p&i/defence clubs']"
6455,6455,service client accounts,"['manage information exchange between clients and other counterparties in the transaction', 'manage issues arising from servicing client accounts', 'maintain relationships with ship owners, ship financiers and other brokers']"
6456,6456,service client accounts,"['manage contracts with ship owners, cargo owners and brokers', 'manage and archive information exchange between clients and business', 'manage issues arising from servicing client accounts', 'maintain relationships with cargo owners and brokers']"
6457,6457,service client accounts,"['develop and maintain the organisation’s client portfolio of cargo owners, vessel owners and brokers', 'foster and deepen relationships with clients among cargo owners, vessel owners and brokers']"
6458,6458,service client accounts,"[""establish and maintain a level of service on voyage execution to meet customer's expectations and maintain a loyal customer base"", 'maintain good external relations with brokers, agents, defence/p&i clubs, and internal relations with chartering, operations, crewing and legal departments']"
6459,6459,service client accounts,"['maintain and update fleet operational record systems and customer databases', 'update clients on vessel arrivals, crew changes, bunker consumption and other relevant vessel operation matters', 'resolve claims and payment disputes arising from voyage operations']"
6460,6460,service client accounts,"['manage contracts with ship owners and cargo owners and other brokers', 'develop and maintain the organisation’s portfolio of clients', 'manage settlements on laytime calculations, demurrage payments, and other issues arising from servicing client accounts']"
6461,6461,service client accounts,"['manage information exchange between clients and other counter parties in the transaction', 'manage issues arising from servicing client accounts', 'develop and maintain the organisation’s portfolio of clients, comprising ship owners, ship financiers, other brokers, etc.']"
6462,6462,service client accounts,"['manage information exchange between clients and business', 'manage contracts with ship owners, cargo owners and brokers', 'manage issues arising from servicing client accounts', 'maintain relationships with clients', 'manage information exchange between clients and business', 'manage contracts with ship owners, cargo owners and brokers', 'manage issues arising from servicing client accounts', 'maintain relationships with clients']"
6463,6463,service client accounts,"['foster and deepen relationship with clients', 'update customer, document and vessel databases', 'prepare client updates on market outlook related to chartering activities, refinery activities, and fleet deployment']"
6464,6464,service client accounts,"['update and/or report to ship owners and operators on ship activities, cargo operations and status of port clearance', 'update databases on ship arrivals, ship departures and cargo documentation']"
6465,6465,service client accounts,"['manage post-fixture issues arising from servicing client accounts', 'update ship activities for clients’ reviews through online or offline platforms', 'update customer, contract, and voyage accounting databases']"
6466,6466,service client accounts,"['foster and deepen relationships with clients', 'develop and maintain the organisation’s portfolio of clients', 'oversee complex dispute resolution arising from voyage operations with cargo owners, brokers and protection and indemnity (p&i)/defence clubs']"
6467,6467,service client accounts,"['resolve client conflicts and escalate to higher level when needed', 'generate lists of policy deviation requests', ""perform personalised post-sales client support and service according to clients' needs"", 'draft service level agreements for new clients', 'conduct programmes to inform clients on products and service offerings', 'provide prompt responses to queries on client accounts']"
6468,6468,service client accounts,"[""develop client engagement plans to raise clients' awareness of the product and service offerings"", ""lead personalised post-sales client support and services according to clients' needs"", 'review deviations in policy requests to assess viability and approval', 'review service level agreements for new clients', 'manage service recovery on client accounts', 'provide prompt responses to queries on key client accounts']"
6469,6469,service client accounts,"['oversee billings to and voyage accounts of clients, ship-owners and shipping lines', 'develop close working relationships with the port regulator, port health, singapore customs and immigration authorities', 'liaise with freight forwarders, hauliers, ship-owners, shipping lines/agents and customers']"
6470,6470,service client accounts,"['update customer databases', 'update clients on latest market developments on vessel valuation, chartering activities and fleet demand and supply']"
6471,6471,service client accounts,"['propose service level agreement terms for new clients', 'recommend deviation in policy requests based on viability and cost-benefit analysis', 'provide prompt responses to queries on key client accounts', 'plan programmes to inform clients on products and service offerings', 'perform service recovery on client accounts', ""supervise personalised post-sales client support and service according to clients' needs""]"
6472,6472,service client accounts for provision of data and research,"['review and provide commentaries to leading publications', 'lead presentations to clients such as ship owners, cargo owners regarding developments in the shipping market']"
6473,6473,service client accounts for provision of data and research,"['review and provide commentaries to internal or external publications', 'engage individual clients, understand their research questions, and develop customised research insights']"
6474,6474,service client accounts for provision of data and research,"['provide commentaries to internal or external publications', 'engage individual clients, understand their research questions, and develop customised research insights']"
6475,6475,set business intelligence (bi) strategy,"['provide thought leadership to stakeholders in determining which bi solutions will enable the enterprise to achieve defined business goals', 'oversee ongoing development and operations of bi architecture', 'establish approach for identifying business and information needs to enhance decision-making, polices and processes', 'provide rationale, business cases and return on investment (roi) models to get buy-in on the business intelligence investment', ""outline the organisation's bi vision and strategy""]"
6476,6476,set customer experience standards,"['develop strategies to improve customer loyalty', 'develop service recovery framework to address customer service delivery gaps', ""establish customer service standards for staff to drive organisation's customer experience goal""]"
6477,6477,set customer experience standards,"['develop service recovery frameworks to address customer service delivery gaps', 'develop strategies to improve customer loyalty', ""establish customer service standards for staff to drive organisation's customer experience goals"", 'develop service recovery frameworks to address customer service delivery gaps', 'develop strategies to improve customer loyalty', ""establish customer service standards for staff to drive organisation's customer experience goals""]"
